seed,query_drug,query_moa,n_query_cells,n_candidates,n_same_moa_candidates,query_silhouette,hit_at_1,moa_ndcg,sil_tertile
0,Clevudine ,DNA/RNA Synthesis,120,180,7,0.022444013506174088,0.0,0.2854035496480086,low
0,Mercaptopurine (6-MP),DNA/RNA Synthesis,120,180,7,0.01914490945637226,0.0,0.3309990940152164,low
0,Filgotinib (GLPG0634),JAK,120,180,15,0.02474946901202202,0.0,0.42622469290929055,mid
0,Zileuton,Lipoxygenase,120,180,0,0.04008912295103073,0.0,0.0,high
0,EED226,Epigenetic Reader Domain,120,180,2,0.02470918744802475,0.0,0.17557355762063304,mid
0,S3I-201,STAT,120,180,0,0.017651693895459175,0.0,0.0,low
0,Iniparib (BSI-201),PARP,120,180,6,0.020732970908284187,0.0,0.31902044642316746,low
0,Anacardic Acid,Histone Acetyltransferase,120,180,0,0.03110072761774063,0.0,0.0,mid
0,CYC116,"Aurora Kinase,VEGFR",120,180,0,0.04600343480706215,0.0,0.0,high
0,Motesanib Diphosphate (AMG-706),"VEGFR,PDGFR,c-Kit",120,180,0,0.033238623291254044,0.0,0.0,high
0,TAK-901,Aurora Kinase,120,180,11,0.03177021071314812,0.0,0.45761623329780704,high
0,Panobinostat (LBH589),HDAC,120,180,22,0.033404018729925156,1.0,0.8994263906732204,high
0,Ellagic acid,Topoisomerase,120,180,2,0.01975971832871437,0.0,0.19605093218265726,low
0,Entinostat (MS-275),HDAC,120,180,22,0.023932790383696556,1.0,0.6695534522128682,low
0,Roxadustat (FG-4592),HIF,120,180,2,0.016450360417366028,0.0,0.20929447273820004,low
0,CUDC-101,"EGFR,HDAC,HER2",120,180,0,0.03602244704961777,0.0,0.0,high
0,Vandetanib (ZD6474),VEGFR,120,180,1,0.03813837468624115,0.0,0.14555268036201674,high
0,ITSA-1 (ITSA1),HDAC,120,180,22,0.013810466043651104,0.0,0.4422512315180251,low
0,Dasatinib,"Bcr-Abl,c-Kit,Src",120,180,0,0.02202739007771015,0.0,0.0,low
0,Veliparib (ABT-888),PARP,120,180,6,0.028938256204128265,0.0,0.3138240309652115,mid
0,"Patupilone (EPO906, Epothilone B)",Microtubule Associated,120,180,1,0.038987137377262115,0.0,0.16794877895704194,high
0,Tie2 kinase inhibitor,Tie-2,120,180,0,0.022917162626981735,0.0,0.0,low
0,MLN8054,Aurora Kinase,120,180,11,0.04170834273099899,1.0,0.7120715603284468,high
0,Costunolide,Telomerase,120,180,0,0.029507119208574295,0.0,0.0,mid
0,Ramelteon,MT Receptor,120,180,0,0.026998162269592285,0.0,0.0,mid
0,ZM 447439,Aurora Kinase,120,180,11,0.03776026517152786,1.0,0.803587768447183,high
0,Meprednisone,Glucocorticoid Receptor,120,180,1,0.02271019108593464,0.0,0.14152099882215266,low
0,SB431542,TGF-beta/Smad,120,180,0,0.030620016157627106,0.0,0.0,mid
0,Mesna ,Others,120,180,2,0.025562774389982224,0.0,0.1786909265535205,mid
0,AG-14361,PARP,120,180,6,0.03389827534556389,1.0,0.5684752106611898,high
0,Gandotinib (LY2784544),JAK,120,180,15,0.0532367005944252,0.0,0.4810923972310607,high
0,BRD4770,Histone Methyltransferase,120,180,6,0.021647779271006584,0.0,0.29855685699732415,low
0,2-Methoxyestradiol (2-MeOE2),HIF,120,180,2,0.03063710778951645,0.0,0.22085040341878093,mid
0,Amisulpride,Dopamine Receptor,120,180,0,0.030872223898768425,0.0,0.0,mid
0,XAV-939,Wnt/beta-catenin,120,180,0,0.034368038177490234,0.0,0.0,high
0,Glesatinib?(MGCD265),"c-Met,Tie-2,VEGFR",120,180,0,0.014662365429103374,0.0,0.0,low
0,AZ 960,JAK,120,180,15,0.04738719388842583,0.0,0.4968727612703506,high
0,Aminoglutethimide ,Aromatase,120,180,0,0.021136052906513214,0.0,0.0,low
0,BMS-536924,IGF-1R,120,180,0,0.028360432013869286,0.0,0.0,mid
0,Azacitidine ,DNA Methyltransferase,120,180,2,0.05058065801858902,0.0,0.2708035414664966,high
0,WHI-P154,"EGFR,JAK",120,180,0,0.023202288895845413,0.0,0.0,low
0,Carmofur,DNA/RNA Synthesis,120,180,7,0.0424962043762207,1.0,0.6841673511132832,high
0,GSK-LSD1 2HCl,Histone Demethylase,120,180,1,0.026434775441884995,0.0,0.22424382421757544,mid
0,SRT1720 HCl,Sirtuin,120,180,4,0.023046644404530525,0.0,0.3156383025485142,low
0,UNC0379,Histone Methyltransferase,120,180,6,0.015672734007239342,1.0,0.6124189629352894,low
0,PCI-34051,HDAC,120,180,22,0.025364616885781288,0.0,0.4536434077621779,mid
0,WP1066,JAK,120,180,15,0.029838822782039642,0.0,0.40452115444575604,mid
0,Ofloxacin,Topoisomerase,120,180,2,0.024630703032016754,0.0,0.22220197453419294,mid
0,"Baricitinib (LY3009104, INCB028050)",JAK,120,180,15,0.028229249641299248,1.0,0.6834074766486731,mid
0,BMS-911543,JAK,120,180,15,0.023150742053985596,0.0,0.40256928917507256,low
0,"Luminespib (AUY-922, NVP-AUY922)",HSP (e.g. HSP90),120,180,1,0.01948259212076664,0.0,0.14893706185882832,low
0,PFI-1 (PF-6405761),Epigenetic Reader Domain,120,180,2,0.02000453881919384,0.0,0.5158037429793888,low
0,Sodium Phenylbutyrate,HDAC,120,180,22,0.03521334379911423,0.0,0.4420966928731789,high
0,Mocetinostat (MGCD0103),HDAC,120,180,22,0.017267199233174324,1.0,0.6893212970921709,low
0,M344,HDAC,120,180,22,0.021334370598196983,1.0,0.9091769684647534,low
0,MK-0752,"Beta Amyloid,Gamma-secretase",120,180,1,0.019395118579268456,0.0,0.38685280723454163,low
0,SRT2104 (GSK2245840),Sirtuin,120,180,4,0.022520314902067184,0.0,0.2605511460242584,low
0,Droxinostat,HDAC,120,180,22,0.020323054865002632,0.0,0.49305295807921873,low
0,Tacedinaline (CI994),HDAC,120,180,22,0.03149240091443062,1.0,0.6412721814462007,high
0,Ki16425,LPA Receptor,120,180,0,0.02319733239710331,0.0,0.0,low
0,Thalidomide,"E3 Ligase ,TNF-alpha",120,180,0,0.014368426986038685,0.0,0.0,low
0,"Tozasertib (VX-680, MK-0457)",Aurora Kinase,120,180,11,0.05711338669061661,1.0,0.7466289808913684,high
0,ABT-737,Bcl-2,120,180,2,0.024562248960137367,0.0,0.21121242149198882,mid
0,"Cerdulatinib (PRT062070, PRT2070)",JAK,120,180,15,0.040310151875019073,0.0,0.6270740126562392,high
0,"Fluorouracil (5-Fluoracil, 5-FU)",DNA/RNA Synthesis,120,180,7,0.039562832564115524,1.0,0.655956410160189,high
0,TMP195,HDAC,120,180,22,0.027430348098278046,0.0,0.4633760110238742,mid
0,Pracinostat (SB939),HDAC,120,180,22,0.02927030809223652,1.0,0.8996019534683358,mid
0,ENMD-2076 L-(+)-Tartaric acid ,"Aurora Kinase,FLT3,VEGFR",120,180,1,0.03379059582948685,1.0,1.0,high
0,BMS-754807,"c-Met,IGF-1R,Trk receptor",120,180,0,0.0353960283100605,0.0,0.0,high
0,TG101209,"c-RET,FLT3,JAK",120,180,0,0.025469603016972542,0.0,0.0,mid
0,FLLL32,JAK,120,180,15,0.0380944088101387,0.0,0.4203131471114381,high
0,Alendronate sodium trihydrate,Others,120,180,2,0.027100352570414543,0.0,0.18961441107271415,mid
0,RG108,DNA Methyltransferase,120,180,2,0.021438218653202057,0.0,0.17616107864387742,low
0,Celecoxib,COX,120,180,0,0.02861631289124489,0.0,0.0,mid
0,Obatoclax Mesylate (GX15-070),Bcl-2,120,180,2,0.040145501494407654,0.0,0.20545570699899307,high
0,Busulfan ,DNA alkylator,120,180,2,0.021219799295067787,0.0,0.36181498356361597,low
0,Thiotepa,Others,120,180,2,0.033832136541604996,0.0,0.20053246379944456,high
0,PF-3845,FAAH,120,180,0,0.021103011444211006,0.0,0.0,low
0,Quercetin,"Src,Sirtuin,PKC,PI3K",120,180,0,0.027673492208123207,0.0,0.0,mid
0,AICAR (Acadesine),AMPK,120,180,0,0.022738421335816383,0.0,0.0,low
0,AC480 (BMS-599626),"EGFR,HER2",120,180,1,0.020750392228364944,0.0,0.27894294565112987,low
