cell_line,mean_cosine,global_energy,coverage_mean,coverage_worst
K562,0.11000000000000001,0.76,0.8400000000000001,0.63
A549,0.36,0.97,0.8699999999999999,0.6799999999999999
MCF7,0.33999999999999997,0.95,0.86,0.65
