method,hit1_mean_over_tasks,n_tasks
global_energy,0.8369047619047619,7
pca_dist,0.7781746031746032,7
coverage_mean,0.7734126984126984,7
coverage_worst,0.5892857142857143,7
pca_mean,0.5178571428571429,7
cmap_wtcs,0.4634920634920635,7
cmap_cosine,0.38849206349206344,7
mean_cosine,0.38849206349206344,7
