seed,n_cells,alpha,ari_raw_kmeans_k2,sil_raw_kmeans_k2,ari_pca10_kmeans_k2,sil_pca10_kmeans_k2,ari_pca50_kmeans_k2,sil_pca50_kmeans_k2,ari_gmm2_raw,sil_gmm2_raw,ari_gmm2_pca50,sil_gmm2_pca50,ari_raw_kmeans_bestk3,sil_raw_kmeans_bestk3,ari_response_kmeans_k2,sil_response_kmeans_k2,ari_raw_kmeans_bestk4,sil_raw_kmeans_bestk4,ari_raw_kmeans_bestk5,sil_raw_kmeans_bestk5
0,400,0.7,0.09030189052756607,0.04446806758642197,0.0735826296743064,0.22088289260864258,0.07577327843053168,0.09325828403234482,0.010609752996706533,0.030442481860518456,0.08204509463841339,0.09058026969432831,0.04854184942965398,0.027574973180890083,0.09030189052756607,0.04446806758642197,,,,
1,400,0.7,0.06384058085892294,0.041432637721300125,0.056066690186347225,0.21581314504146576,0.052673904302372336,0.0888662114739418,0.06319029873006908,0.030292082577943802,0.08040710854642591,0.08442816138267517,0.05443498050964732,0.018576346337795258,0.06384058085892294,0.041432637721300125,,,,
2,400,0.7,0.08040710854642591,0.03955624997615814,0.07970681093430217,0.21034902334213257,0.08283136710617627,0.08637461066246033,0.010375406918007023,0.024588877335190773,0.08952325853248745,0.08438459038734436,,,0.08040710854642591,0.03955624997615814,0.09549170099740475,0.017947303131222725,,
3,400,0.7,0.0965205054604243,0.053165506571531296,0.10345086835576273,0.2344433218240738,0.10015037593984963,0.10839022696018219,-0.013270960893448876,0.024255188181996346,0.0911079553321018,0.10481622815132141,0.02147845283527933,0.03158549964427948,0.0965205054604243,0.053165506571531296,,,,
4,400,0.7,0.09137515078407721,0.041182857006788254,0.08807782218535555,0.21599088609218597,0.08807782218535555,0.08945852518081665,0.10550807179703378,0.03634007275104523,0.0950874062324444,0.08768565952777863,0.025853367039736414,0.02845735475420952,0.09137515078407721,0.041182857006788254,,,,
5,400,0.7,0.014198513800424629,0.038384661078453064,0.011273885350318471,0.21209976077079773,0.011273885350318471,0.08603142946958542,0.0009101941747572816,0.03351670876145363,0.01541898462481931,0.08255581557750702,,,0.014198513800424629,0.038384661078453064,,,0.010338251902319812,0.022079119458794594
6,400,0.7,0.06630964320116066,0.0402541346848011,0.06415213946117274,0.21304450929164886,0.06415213946117274,0.0885390117764473,0.0416123731990176,0.034196119755506516,0.06526315789473684,0.08672308176755905,0.0785899398557893,0.024608543142676353,0.06630964320116066,0.0402541346848011,,,,
7,400,0.7,0.051877879408490764,0.04245942085981369,0.06526315789473684,0.21416336297988892,0.044563166822555844,0.09109622240066528,-0.007406931345297964,0.022399159148335457,0.0318248573430111,0.08396778255701065,,,0.051877879408490764,0.04245942458510399,0.03397590930151383,0.024139292538166046,,
8,400,0.7,0.06667620394949479,0.038465242832899094,0.06550913640154675,0.21358592808246613,0.05331223013148201,0.08498987555503845,0.08284133526419368,0.036012038588523865,0.05331223013148201,0.08336617797613144,0.044748958644668,0.02819221466779709,0.06667620394949479,0.038465239107608795,,,,
9,400,0.7,0.0735826296743064,0.03756922855973244,0.0762218283109648,0.2024843543767929,0.06312766733829385,0.08436191827058792,0.06550913640154675,0.03088364563882351,0.07639724033166656,0.08553602546453476,,,0.0735826296743064,0.03756922855973244,,,0.06456320971948977,0.025250621140003204
