task,predictor,retrieval,top1_flip_rate,mean_topk_overlap,mean_delta_rank,n_queries
crossline,average_effect,dart_coverage,0.3388888888888889,0.3006558641975309,-2.040277777777778,720
crossline,average_effect,dart_energy,0.1361111111111111,0.37943672839506176,-0.7013888888888888,720
crossline,nearest_neighbor,dart_coverage,0.6180555555555556,0.25812389770723104,-5.495833333333334,720
crossline,nearest_neighbor,dart_energy,0.12222222222222222,0.3462522045855379,-0.9166666666666666,720
crossline,scgen,dart_coverage,0.5569444444444445,0.307010582010582,-2.6041666666666665,720
crossline,scgen,dart_energy,0.3958333333333333,0.4224261463844797,-0.7083333333333334,720
