task,predictor,retrieval,hit@1,hit@5,mrr,ndcg@10,mean_rank,n_queries
crossline,average_effect,mean_cosine,0.8847222222222222,1.0,0.9388888888888889,0.9547266989484154,1.136111111111111,720
crossline,average_effect,r2,0.9013888888888889,0.9611111111111111,0.9313535392853184,0.9392312448730736,1.8583333333333334,720
crossline,average_effect,dart_energy,0.8972222222222223,0.9652777777777778,0.9303760608670506,0.9386015886288105,1.8375,720
crossline,average_effect,dart_coverage,0.7361111111111112,0.8777777777777778,0.8014368236031735,0.8243003866999657,3.176388888888889,720
crossline,nearest_neighbor,mean_cosine,0.9875,1.0,0.99375,0.9953866219196432,1.0125,720
crossline,nearest_neighbor,r2,0.8722222222222222,0.9416666666666667,0.9046679970001582,0.9205383962629289,1.7027777777777777,720
crossline,nearest_neighbor,dart_energy,0.8902777777777777,0.9430555555555555,0.9158133125607454,0.9242413931644068,1.9291666666666667,720
crossline,nearest_neighbor,dart_coverage,0.38333333333333336,0.6666666666666666,0.5170012413419116,0.5712761382527124,6.508333333333334,720
crossline,scgen,mean_cosine,0.6,0.9916666666666667,0.7582655423280423,0.8190467907809618,1.7291666666666667,720
crossline,scgen,r2,0.7402777777777778,0.925,0.8236448211614893,0.8512395715182404,2.5652777777777778,720
crossline,scgen,dart_energy,0.7111111111111111,0.9347222222222222,0.8117490373257904,0.8462447725106218,2.4375,720
crossline,scgen,dart_coverage,0.6013888888888889,0.8111111111111111,0.6957114699267539,0.7308016502665293,4.333333333333333,720
